District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
STEWARTVILLE PUBLIC SCHOOL DISTRICT,Minnesota,2097,0.01,0.12,17.17,1.038,0
STILLWATER AREA PUBLIC SCHOOL DIST.,Minnesota,8612,0.02,0.15,19.23,0.974,0
THIEF RIVER FALLS SCHOOL DISTRICT,Minnesota,2037,0.01,0.18,14.65,0.977,0
TRI-CITY UNITED SCHOOL DISTRICT,Minnesota,1972,0.07,0.18,15.14,0.86,0
TRITON SCHOOL DISTRICT,Minnesota,1169,0.05,0.17,14.22,1.098,0
VIRGINIA PUBLIC SCHOOL DISTRICT,Minnesota,1684,0,0.13,15.19,0.974,0
WACONIA PUBLIC SCHOOL DISTRICT,Minnesota,3989,0.01,0.14,15.79,1.101,0
WARROAD PUBLIC SCHOOL DISTRICT,Minnesota,1022,0.03,0.16,14.76,0.864,0
WASECA PUBLIC SCHOOL DISTRICT,Minnesota,1903,0.04,0.16,15.96,0.931,0
WATERTOWN-MAYER PUBLIC SCHOOL DIST.,Minnesota,1625,0.01,0.18,16.88,0.887,0
WAYZATA PUBLIC SCHOOL DISTRICT,Minnesota,11370,0.02,0.09,16.75,1.169,0
WEST ST. PAUL-MENDOTA HTS.-EAGAN,Minnesota,5056,0.11,0.17,15.59,0.881,0
WESTONKA PUBLIC SCHOOL DISTRICT,Minnesota,2365,0.01,0.17,17.62,1.24,0
WHITE BEAR LAKE SCHOOL DISTRICT,Minnesota,8562,0.03,0.15,16.74,0.964,0
WILLMAR PUBLIC SCHOOL DISTRICT,Minnesota,4234,0.24,0.13,14.99,1.03,0
WINDOM PUBLIC SCHOOL DISTRICT,Minnesota,1052,0.08,0.18,13.84,0.911,0
WINONA AREA PUBLIC SCHOOL DISTRICT,Minnesota,3124,0.03,0.22,13.68,0.982,0
WORTHINGTON PUBLIC SCHOOL DISTRICT,Minnesota,3297,0.32,0.13,14.27,0.905,0
ZUMBROTA-MAZEPPA SCHOOL DISTRICT,Minnesota,1214,0.01,0.13,16.05,1.016,0
ABERDEEN SCHOOL DIST,Mississippi,1298,0,0.17,14.59,0.951,0
ALCORN SCHOOL DIST,Mississippi,3262,0.01,0.15,13.37,1.004,0
AMORY SCHOOL DIST,Mississippi,1778,0.01,0.16,15.16,0.96,0
ATTALA CO SCHOOL DIST,Mississippi,1078,0,0.15,12.45,0.989,0
BAY ST LOUIS WAVELAND SCHOOL DIST,Mississippi,1865,0.01,0.13,15.35,0.898,0
BENTON CO SCHOOL DIST,Mississippi,1165,0.02,0.19,12.64,0.982,0
BILOXI PUBLIC SCHOOL DIST,Mississippi,6184,0.07,0.11,16.24,0.949,0
BROOKHAVEN SCHOOL DIST,Mississippi,2966,0.01,0.14,13.14,1.042,0
CALHOUN CO SCHOOL DIST,Mississippi,2533,0.08,0.12,16.3,0.986,0
CANTON PUBLIC SCHOOL DIST,Mississippi,3583,0.09,0.11,17.61,0.957,0
CARROLL COUNTY SCHOOL DIST,Mississippi,1032,0.01,0.15,15.54,0.905,0
CHOCTAW CO SCHOOL DIST,Mississippi,1370,0,0.2,11.34,0.806,0
CLAIBORNE CO SCHOOL DIST,Mississippi,1487,0,0.11,17.32,0.931,0
CLARKSDALE MUNICIPAL SCHOOL DIST,Mississippi,2675,0.01,0.12,15.31,1.009,0
CLEVELAND SCHOOL DIST,Mississippi,3565,0.01,0.14,15.59,1.001,0
CLINTON PUBLIC SCHOOL DIST,Mississippi,5183,0.05,0.1,19.5,0.977,0
COAHOMA COUNTY SCHOOL DISTRICT,Mississippi,1495,0.01,0.19,12.53,0.938,0
COLUMBIA SCHOOL DISTRICT,Mississippi,1701,0,0.21,14.31,0.979,0
COLUMBUS MUNICIPAL SCHOOL DIST,Mississippi,4001,0.01,0.13,14.56,1.012,0
COPIAH CO SCHOOL DIST,Mississippi,2752,0.04,0.11,16.86,0.935,0
CORINTH SCHOOL DIST,Mississippi,2651,0.05,0.12,16.97,0.963,0
COVINGTON CO SCHOOLS,Mississippi,2905,0.02,0.21,14.86,0.907,0
DESOTO CO SCHOOL DIST,Mississippi,33537,0.05,0.15,16.66,1.049,0
EAST TALLAHATCHIE CONSOL SCH DIST,Mississippi,1216,0,0.1,14.41,1.01,0
FOREST MUNICIPAL SCHOOL DIST,Mississippi,1688,0.25,0.12,17.59,1.137,0
FORREST COUNTY SCHOOL DISTRICT,Mississippi,2289,0.02,0.21,12.64,0.97,0
FRANKLIN CO SCHOOL DIST,Mississippi,1333,0,0.17,14.65,0.914,0
GEORGE CO SCHOOL DIST,Mississippi,4082,0.02,0.14,16.51,1.212,0
GREENVILLE PUBLIC SCHOOLS,Mississippi,5045,0,0.12,16.73,1.1,0
GREENWOOD PUBLIC SCHOOL DISTRICT,Mississippi,2741,0.01,0.12,15.13,1.009,0
GRENADA SCHOOL DIST,Mississippi,4016,0,0.16,16.17,0.973,0
GULFPORT SCHOOL DIST,Mississippi,6300,0.04,0.13,16.23,0.959,0
HANCOCK CO SCHOOL DIST,Mississippi,4552,0.01,0.17,16.02,1.117,0
HARRISON CO SCHOOL DIST,Mississippi,14773,0.02,0.14,16.13,0.986,0
HATTIESBURG PUBLIC SCHOOL DIST,Mississippi,4289,0.03,0.15,14.13,1.061,0
HAZLEHURST CITY SCHOOL DISTRICT,Mississippi,1546,0.05,0.09,18,0.825,0
HINDS CO SCHOOL DIST,Mississippi,6004,0.01,0.12,14.46,1.023,0
HOLLY SPRINGS SCHOOL DIST,Mississippi,1372,0.03,0.15,16,1.173,0
HOUSTON  SCHOOL DIST,Mississippi,1757,0.05,0.16,13.61,1.037,0
HUMPHREYS CO SCHOOL DIST,Mississippi,1708,0,0.17,18.06,1.005,0
ITAWAMBA CO SCHOOL DIST,Mississippi,3590,0.01,0.2,13.63,1.004,0
JACKSON CO SCHOOL DIST,Mississippi,9278,0.02,0.11,16.21,0.981,0
JACKSON PUBLIC SCHOOL DIST,Mississippi,26948,0.01,0.09,16.3,0.998,0
JEFFERSON DAVIS CO SCHOOL DIST,Mississippi,1420,0,0.17,13.96,0.927,0
JONES CO SCHOOL DIST,Mississippi,8672,0.07,0.15,16.24,0.957,0
KOSCIUSKO SCHOOL DISTRICT,Mississippi,2472,0.01,0.14,15.83,0.964,0
LAFAYETTE CO SCHOOL DIST,Mississippi,2846,0.02,0.13,15.27,0.98,0
LAMAR COUNTY SCHOOL DISTRICT,Mississippi,9893,0.04,0.14,14.89,1.046,0
LAUDERDALE CO SCHOOL DIST,Mississippi,6506,0.01,0.13,14.78,1.016,0
LAUREL SCHOOL DISTRICT,Mississippi,3177,0.06,0.1,15.56,1.018,0
LAWRENCE CO SCHOOL DIST,Mississippi,2211,0.01,0.15,15.22,0.932,0
LEAKE CO SCHOOL DIST,Mississippi,2912,0.09,0.18,15.81,1.086,0
LEE COUNTY SCHOOL DISTRICT,Mississippi,6978,0.02,0.14,15.07,1.123,0
LEFLORE CO SCHOOL DIST,Mississippi,2392,0.03,0.13,15.99,0.961,0
LINCOLN CO SCHOOL DIST,Mississippi,3221,0,0.13,17.13,0.96,0
LONG BEACH SCHOOL DIST,Mississippi,3285,0.01,0.15,16.53,0.993,0
LOWNDES CO SCHOOL DIST,Mississippi,5300,0,0.15,13.82,1.068,0
MADISON CO SCHOOL DIST,Mississippi,13171,0.04,0.11,14.58,1.118,0
MARION CO SCHOOL DIST,Mississippi,2061,0,0.15,13.42,0.952,0
MARSHALL CO SCHOOL DIST,Mississippi,3144,0.09,0.1,14.51,1.104,0
MCCOMB SCHOOL DISTRICT,Mississippi,2676,0.02,0.09,15.7,0.958,0
MERIDIAN PUBLIC SCHOOL DIST,Mississippi,5557,0.02,0.12,14.75,0.997,0
MONROE CO SCHOOL DIST,Mississippi,2358,0,0.18,12.63,0.926,0
MOSS POINT SEPARATE SCHOOL DIST,Mississippi,1933,0.04,0.15,13.47,0.922,0
NATCHEZ-ADAMS SCHOOL DIST,Mississippi,3460,0.01,0.15,15.27,0.982,0
NESHOBA COUNTY SCHOOL DISTRICT,Mississippi,3361,0,0.15,17.18,1.062,0
NETTLETON SCHOOL DIST,Mississippi,1312,0.01,0.19,11.6,0.975,0
NEW ALBANY PUBLIC SCHOOLS,Mississippi,2184,0.06,0.17,14.27,0.994,0
NEWTON COUNTY SCHOOL DISTRICT,Mississippi,1815,0.03,0.13,14.32,1.001,0
NORTH BOLIVAR CONS SCH,MISSISSIPPI,1084,0.01,0.1,12.53,0.839,0
NOXUBEE COUNTY SCHOOL DISTRICT,Mississippi,1635,0.02,0.14,14.6,0.94,0
OCEAN SPRINGS SCHOOL DIST,Mississippi,5796,0.02,0.16,14.04,0.98,0
OXFORD SCHOOL DISTRICT,Mississippi,4297,0.06,0.11,14.67,0.94,0
PASCAGOULA GAUTIER SCHOOL DIST,Mississippi,7256,0.12,0.14,14.11,1.049,0
PASS CHRISTIAN PUBLIC SCHOOL DIST,Mississippi,2021,0.01,0.14,14.27,0.971,0
PEARL PUBLIC SCHOOL DIST,Mississippi,4222,0.05,0.13,15.88,0.947,0
PEARL RIVER CO SCHOOL DIST,Mississippi,3240,0.01,0.15,18.23,1.018,0
PERRY CO SCHOOL DIST,Mississippi,1089,0.01,0.16,13.1,1.035,0
PETAL SCHOOL DIST,Mississippi,4112,0.03,0.17,14.52,1.154,0
PHILADELPHIA PUBLIC SCHOOL DIST,Mississippi,1082,0.02,0.14,15.54,1.016,0
PICAYUNE SCHOOL DIST,Mississippi,3617,0.03,0.15,14.58,0.985,0
PONTOTOC CITY SCHOOLS,Mississippi,2300,0.08,0.15,15,0.987,0
PONTOTOC CO SCHOOL DIST,Mississippi,3667,0.07,0.14,15.85,1.004,0
PRENTISS CO SCHOOL DIST,Mississippi,2399,0,0.21,12.61,0.981,0
QUITMAN SCHOOL DIST,Mississippi,1940,0,0.13,15.01,1.022,0
RANKIN CO SCHOOL DIST,Mississippi,19205,0.02,0.13,14.83,1.022,0
SCOTT CO SCHOOL DIST,Mississippi,4077,0.06,0.15,15.42,1.028,0
SENATOBIA MUNICIPAL SCHOOL DIST,Mississippi,1785,0.01,0.17,15.39,1.055,0
SIMPSON CO SCHOOL DIST,Mississippi,3641,0.01,0.17,14.92,0.944,0
SMITH CO SCHOOL DIST,Mississippi,2701,0,0.17,14.69,1.056,0
SOUTH PANOLA SCHOOL DISTRICT,Mississippi,4426,0.01,0.15,14.75,0.981,0
SOUTH TIPPAH SCHOOL DIST,Mississippi,2785,0.08,0.2,14.13,0.982,0
STONE CO SCHOOL DIST,Mississippi,2556,0.01,0.16,14.46,1.007,0
SUNFLOWER CO CONSOLIDATE SCH DIST,MISSISSIPPI,3946,0.01,0.12,15.29,0.843,0
TATE CO SCHOOL DIST,Mississippi,2649,0.04,0.12,15.9,0.911,0
TISHOMINGO CO SP MUN SCH DIST,Mississippi,3078,0.03,0.17,14.01,1.014,0
TUNICA COUNTY SCHOOL DISTRICT,Mississippi,2095,0.01,0.12,14.67,1.155,0
TUPELO PUBLIC SCHOOL DIST,Mississippi,6995,0.05,0.14,14.66,0.997,0
UNION CO SCHOOL DIST,Mississippi,2830,0.01,0.18,15.46,0.98,0
UNION PUBLIC SCHOOL DIST,Mississippi,1019,0,0.18,14.59,0.992,0
VICKSBURG WARREN SCHOOL DIST,Mississippi,8311,0.01,0.12,15.38,1.051,0
WALTHALL CO SCHOOL DIST,Mississippi,1941,0.02,0.13,15.42,1.096,0
WATER VALLEY SCHOOL DISTRICT,Mississippi,1138,0.01,0.13,14.69,1.011,0
WAYNE CO SCHOOL DIST,Mississippi,3295,0.01,0.19,13.52,0.92,0
WEBSTER CO SCHOOL DIST,Mississippi,1818,0,0.14,15.48,1.033,0
WEST BOLIVAR CONS SCH,MISSISSIPPI,1330,0,0.15,12.5,0.944,0
WEST JASPER CONSOLIDATED SCHOOLS,Mississippi,1403,0.01,0.2,14.31,0.981,0
WESTERN LINE SCHOOL DISTRICT,Mississippi,1953,0.01,0.15,15.32,0.965,0
WILKINSON CO SCHOOL DIST,Mississippi,1224,0,0.14,16.24,0.971,0
WINONA SEPARATE SCHOOL DIST,Mississippi,1135,0.01,0.16,14.9,1.019,0
YAZOO CITY MUNICIPAL SCHOOL DIST,Mississippi,2455,0,0.14,16.96,0.935,0
YAZOO CO SCHOOL DIST,Mississippi,1580,0.01,0.13,14.29,0.989,0
AFFTON 101,Missouri,2474,0.09,0.13,16.47,0.98,0
AURORA R-VIII,Missouri,2016,0.05,0.17,14.78,0.999,0
BAYLESS,Missouri,1571,0.19,0.18,14.28,0.945,0
BELTON 124,Missouri,4969,0.04,0.15,15.92,0.987,0
BLAIR OAKS R-II,Missouri,1208,0,0.13,15.73,0.935,0
BLUE SPRINGS R-IV,Missouri,14318,0.01,0.12,16.59,1.041,0
BOLIVAR R-I,Missouri,2823,0,0.15,14.59,0.98,0
BOONVILLE R-I,Missouri,1505,0,0.15,11.8,1.006,0
BOWLING GREEN R-I,Missouri,1303,0.01,0.12,13.44,0.955,0
BRANSON R-IV,Missouri,4746,0.05,0.14,15.05,1.049,0
BROOKFIELD R-III,Missouri,1008,0.01,0.15,11.46,0.96,0
CAMDENTON R-III,Missouri,4335,0.02,0.14,13.3,1.283,0
CAMERON R-I,Missouri,1824,0,0.16,14.51,1.2,0
CAPE GIRARDEAU 63,Missouri,4119,0.03,0.16,11.52,0.898,0
CARL JUNCTION R-I,Missouri,3334,0,0.11,14.69,0.936,0
CARTHAGE R-IX,Missouri,4794,0.23,0.13,14.48,1.073,0
CARUTHERSVILLE 18,Missouri,1141,0.01,0.15,16.44,0.774,0
CASSVILLE R-IV,Missouri,1873,0.03,0.07,15.44,1.148,0
CENTER 58,Missouri,2645,0.03,0.14,12.22,0.958,0
CHILLICOTHE R-II,Missouri,1870,0,0.15,12.75,0.992,0
CLAYTON,Missouri,2254,0.03,0.14,9.54,0.898,0
CLEARWATER R-I,Missouri,1000,0,0.16,14.16,1.183,0
CLEVER R-V,Missouri,1214,0,0.1,14.83,1.074,0
CLINTON,Missouri,1673,0,0.15,12.38,1.068,0
COLUMBIA 93,Missouri,18171,0.06,0.1,13.34,1.024,0
CONFLUENCE ACADEMIES,Missouri,2804,0.1,0.09,13.25,0.847,0
CRAWFORD CO. R-II,Missouri,1442,0.01,0.17,12.94,1.023,0
DALLAS CO. R-I,Missouri,1686,0,0.12,13.49,0.977,0
DESOTO 73,Missouri,2841,0,0.17,14.57,0.919,0
DEXTER R-XI,Missouri,2104,0.01,0.14,15,1.003,0
DONIPHAN R-I,Missouri,1535,0,0.15,12.85,1.047,0
DUNKLIN R-V,Missouri,1653,0,0.21,14.23,0.893,0
EAST NEWTON CO. R-VI,Missouri,1382,0.03,0.17,13.08,1.002,0
EAST PRAIRIE R-II,Missouri,1137,0,0.15,11.99,1.081,0
ELDON R-I,Missouri,1910,0,0.12,13.54,1.064,0
EXCELSIOR SPRINGS 40,Missouri,2938,0,0.1,13.51,0.941,0
FAIR GROVE R-X,Missouri,1158,0,0.12,14.24,0.946,0
FARMINGTON R-VII,Missouri,3989,0.01,0.12,15.55,1.201,0
FERGUSON-FLORISSANT R-II,Missouri,10748,0.01,0.18,14.7,0.99,0
FORT OSAGE R-I,Missouri,4835,0.02,0.13,14.07,0.989,0
FOX C-6,Missouri,11485,0.02,0.18,14.8,0.966,0
FRANCIS HOWELL R-III,Missouri,17804,0.03,0.12,15.49,1.022,0
FREDERICKTOWN R-I,Missouri,1968,0.01,0.14,14.21,0.923,0
FRONTIER SCHOOL OF INNOVATION,Missouri,1613,0.41,0.06,12.62,0.913,0
FT. ZUMWALT R-II,Missouri,18345,0.03,0.17,14,0.99,0
FULTON 58,Missouri,2314,0.01,0.12,14.56,0.944,0
GASCONADE CO. R-II,Missouri,1947,0,0.14,14.68,0.963,0
GATEWAY SCIENCE ACAD/ST LOUIS,Missouri,1350,0.07,0.08,13.17,0.962,0
GRAIN VALLEY R-V,Missouri,4257,0,0.12,13.78,0.989,0
GRANDVIEW C-4,Missouri,4446,0.08,0.12,16.71,1.018,0
HALLSVILLE R-IV,Missouri,1390,0.01,0.09,14.9,1.183,0
HANCOCK PLACE,Missouri,1283,0.06,0.18,13.34,0.832,0
HANNIBAL 60,Missouri,3670,0.01,0.18,13.35,0.99,0
HARRISONVILLE R-IX,Missouri,2459,0.01,0.09,12.79,0.96,0
HAZELWOOD,Missouri,17952,0.02,0.16,15.09,1.043,0
HICKMAN MILLS C-1,Missouri,6328,0.06,0.14,13.45,0.981,0
HOLDEN R-III,Missouri,1216,0,0.16,13.83,1.131,0
HOLLISTER R-V,Missouri,1309,0.03,0.11,12.45,0.899,0
INDEPENDENCE 30,Missouri,15095,0.06,0.1,15.93,0.999,0
JACKSON R-II,Missouri,5150,0,0.1,15.95,1.118,0
JEFFERSON CITY,Missouri,8968,0.02,0.12,13.98,0.975,0
JENNINGS,Missouri,2570,0,0.15,16.58,1.003,0
JOPLIN SCHOOLS,Missouri,7829,0.02,0.17,14.53,1.029,0
KANSAS CITY 33,Missouri,15418,0.23,0.13,14.48,1.054,0
KEARNEY R-I,Missouri,3456,0,0.09,14.58,0.955,0
KENNETT 39,Missouri,2042,0.01,0.13,13.84,0.915,0
KIPP ST LOUIS PUBLIC SCHOOLS,Missouri,1239,0,0.1,18.72,0.816,0
KIRKSVILLE R-III,Missouri,2583,0.03,0.16,12.88,0.959,0
KIRKWOOD R-VII,Missouri,5780,0.01,0.15,15.59,0.94,0
KNOB NOSTER R-VIII,Missouri,1548,0.01,0.14,13.58,0.829,0
LADUE,Missouri,4063,0.04,0.12,12.74,0.892,0
LAMAR R-I,Missouri,1271,0.02,0.19,12.14,1.096,0
LEBANON R-III,Missouri,4370,0.01,0.14,13.86,1.064,0
LEE'S SUMMIT R-VII,Missouri,18261,0.02,0.1,15.04,0.916,0
LIBERTY 53,Missouri,12427,0.01,0.1,15.73,0.89,0
LINDBERGH SCHOOLS,Missouri,6677,0.05,0.13,16.17,0.947,0
LOGAN-ROGERSVILLE R-VIII,Missouri,2288,0.01,0.1,14.91,0.904,0
MACON CO. R-I,Missouri,1317,0.01,0.11,12.1,0.964,0
MALDEN R-I,Missouri,1031,0,0.18,13.32,1.005,0
MAPLEWOOD-RICHMOND HEIGHTS,Missouri,1366,0.03,0.12,12.95,1.002,0
MARSHALL,Missouri,2523,0.09,0.12,13.81,0.914,0
MARSHFIELD R-I,Missouri,2969,0,0.16,13.77,0.92,0
MARYVILLE R-II,Missouri,1481,0,0.18,11.66,0.929,0
MCDONALD CO. R-I,Missouri,3839,0.13,0.19,12.99,1.004,0
MEHLVILLE R-IX,Missouri,10140,0.11,0.17,14.87,0.937,0
MERAMEC VALLEY R-III,Missouri,3219,0.01,0.2,14.83,1.136,0
MEXICO 59,Missouri,2392,0.04,0.09,12.65,0.947,0
MOBERLY,Missouri,2311,0,0.18,12.48,1.002,0
MONETT R-I,Missouri,2372,0.19,0.16,13.3,0.982,0
MONITEAU CO. R-I,Missouri,1350,0.08,0.11,13.4,1.208,0
MOUNTAIN VIEW-BIRCH TREE R-III,Missouri,1163,0,0.17,12.2,1.013,0
MT. VERNON R-V,Missouri,1445,0,0.13,13.24,1.032,0
NEOSHO SCHOOL DISTRICT,Missouri,4725,0.09,0.14,15.29,1.053,0
NEVADA R-V,Missouri,2432,0.01,0.16,12.82,0.959,0
NEW MADRID CO. R-I,Missouri,1398,0.01,0.22,11.64,0.985,0
NIXA PUBLIC SCHOOLS,Missouri,6175,0.02,0.12,14.58,1.189,0
NORTH CALLAWAY CO. R-I,Missouri,1148,0,0.11,12.5,0.993,0
NORTH KANSAS CITY 74,Missouri,20188,0.07,0.11,16.05,0.943,0
NORTH ST. FRANCOIS CO. R-I,Missouri,3024,0,0.14,13.4,1.108,0
NORTHWEST R-I,Missouri,6392,0.01,0.13,15.58,1.064,0
OAK GROVE R-VI,Missouri,2023,0,0.12,14.36,1.024,0
ODESSA R-VII,Missouri,2048,0,0.12,13.74,0.915,0
ORCHARD FARM R-V,Missouri,1996,0.03,0.12,15.84,1.193,0
OZARK R-VI,Missouri,5672,0.02,0.11,14.12,0.946,0
PARK HILL,Missouri,11659,0.04,0.11,15.25,0.999,0
PARKWAY C-2,Missouri,16603,0.05,0.16,13.83,0.968,0
PATTONVILLE R-III,Missouri,5793,0.08,0.18,13.36,0.874,0
PERRY CO. 32,Missouri,2289,0.03,0.16,12.86,0.968,0
PLATTE CO. R-III,Missouri,4079,0.02,0.1,13.62,0.98,0
PLEASANT HILL R-III,Missouri,2326,0.01,0.1,16.87,0.896,0
POPLAR BLUFF R-I,Missouri,5392,0,0.16,17.31,0.901,0
POTOSI R-III,Missouri,2176,0,0.22,13.25,1.04,0
RAYMORE-PECULIAR R-II,Missouri,6226,0.01,0.09,15.62,0.912,0
RAYTOWN C-2,Missouri,9432,0.04,0.14,14.53,0.975,0
REEDS SPRING R-IV,Missouri,1859,0,0.15,12.72,1.006,0
REPUBLIC R-III,Missouri,4862,0,0.12,15.1,0.939,0
RICHMOND R-XVI,Missouri,1583,0,0.13,14.9,0.94,0
RITENOUR,Missouri,6485,0.11,0.15,16.59,0.958,0
RIVERVIEW GARDENS,Missouri,5915,0.01,0.14,16.92,1.043,0
ROCKWOOD R-VI,Missouri,19675,0.02,0.17,13.38,0.958,0
ROLLA 31,Missouri,4033,0.04,0.13,14.86,0.965,0
SALEM R-80,Missouri,1150,0,0.27,11.03,1.207,0
SAVANNAH R-III,Missouri,2269,0.01,0.14,13.65,0.915,0
SCHOOL OF THE OSAGE,Missouri,2014,0.01,0.14,14.13,1.278,0
SCOTT CO. R-IV,Missouri,1002,0,0.15,14.06,1.239,0
SEDALIA 200,Missouri,5081,0.09,0.15,14.1,0.897,0
SENECA R-VII,Missouri,1458,0.01,0.19,14.27,0.949,0
SIKESTON R-6,Missouri,3454,0,0.11,13.62,0.984,0
SMITHVILLE R-II,Missouri,2623,0,0.11,15.69,0.961,0
SOUTHERN BOONE CO. R-I,Missouri,1614,0,0.09,13.8,0.929,0
SPECL. SCH. DST. ST. LOUIS CO.,Missouri,3388,0,0.98,1.6,0.927,0
SPRINGFIELD R-XII,Missouri,25768,0.04,0.12,15.84,1.03,0
ST. CHARLES R-VI,Missouri,4963,0.06,0.18,11.4,0.96,0
ST. CLAIR R-XIII,Missouri,2144,0,0.18,12.75,0.967,0
ST. JAMES R-I,Missouri,1838,0,0.16,13.88,0.999,0
ST. JOSEPH,Missouri,11719,0.06,0.16,13.41,1.055,0
ST. LOUIS CITY,Missouri,28270,0.07,0.12,14.67,1.035,0
STRAFFORD R-VI,Missouri,1240,0,0.12,14.13,1.633,0
SULLIVAN,Missouri,2063,0,0.15,12.6,0.912,0
TRENTON R-IX,Missouri,1232,0,0.17,12.92,0.99,0
TROY R-III,Missouri,6444,0.01,0.13,15.84,0.955,0
UNION R-XI,Missouri,3146,0.01,0.1,15.03,0.938,0
UNIVERSITY ACADEMY,Missouri,1066,0,0.04,14.41,1.006,0
UNIVERSITY CITY,Missouri,2818,0.02,0.13,13.28,1.024,0
WARREN CO. R-III,Missouri,3232,0.01,0.17,14.05,0.923,0
WARRENSBURG R-VI,Missouri,3360,0.01,0.1,13.96,0.946,0
WASHINGTON,Missouri,4049,0.01,0.14,13.45,1.034,0
WAYNESVILLE R-VI,Missouri,6043,0.03,0.17,14.3,0.896,0
WEBB CITY R-VII,Missouri,4379,0.01,0.13,15.44,1.178,0
WEBSTER GROVES,Missouri,4518,0.01,0.13,14.57,0.981,0
WENTZVILLE R-IV,Missouri,16400,0.01,0.14,16.01,0.923,0
WEST PLAINS R-VII,Missouri,2059,0.01,0.19,11.59,0.996,0
WILLARD R-II,Missouri,4526,0.02,0.16,14.09,0.943,0
WILLOW SPRINGS R-IV,Missouri,1339,0.06,0.18,11.7,1.004,0
WINDSOR C-1,Missouri,3069,0,0.14,15.25,0.943,0
WINFIELD R-IV,Missouri,1550,0,0.16,14.25,1.289,0
WRIGHT CITY R-II OF WARREN CO.,Missouri,1614,0.04,0.18,14.03,1.013,0
BELGRADE ELEM,Montana,2407,0.01,0.09,15.78,0.929,0
BILLINGS ELEM,Montana,11553,0.01,0.12,16.34,1.33,0
BILLINGS H S,Montana,5271,0,0.12,18.33,0.982,0
BOZEMAN ELEM,Montana,4649,0.02,0.1,16.54,0.992,0
BOZEMAN H S,Montana,2106,0.01,0.09,16.46,0.899,0
BROWNING ELEM,Montana,1462,0.32,0.14,12.52,0.871,0
BUTTE ELEM,Montana,2981,0,0.12,15.81,0.969,0
BUTTE H S,Montana,1199,0,0.12,15.15,0.896,0
COLUMBIA FALLS ELEM,Montana,1451,0,0.12,15.18,0.913,0
CORVALLIS K-12 SCHOOLS,Montana,1333,0,0.11,15.02,0.988,0
FLATHEAD H S,Montana,2837,0,0.09,15.26,0.93,0
FRENCHTOWN K-12 SCHOOLS,Montana,1300,0,0.11,14.8,0.905,0
GREAT FALLS ELEM,Montana,7306,0.04,0.1,15.32,1.022,0
GREAT FALLS H S,Montana,2944,0.02,0.1,14.34,0.983,0
HAMILTON K-12 SCHOOLS,Montana,1482,0,0.14,14.6,1.007,0
HARDIN ELEM,Montana,1451,0.06,0.08,12.12,0.899,0
HAVRE ELEM,Montana,1295,0,0.16,16.09,1.16,0
HELENA ELEM,Montana,5210,0,0.17,17.02,0.937,0
HELENA H S,Montana,2894,0,0.09,15.23,0.928,0
HELLGATE ELEM,Montana,1471,0.01,0.11,17.31,0.953,0
KALISPELL ELEM,Montana,3070,0.01,0.13,15.99,0.975,0
LAUREL ELEM,Montana,1476,0,0.12,17.76,0.98,0
LIBBY K-12 SCHOOLS,Montana,1179,0,0.07,15.9,0.98,0
LIVINGSTON ELEM,Montana,1022,0,0.17,15.55,0.997,0
MISSOULA ELEM,Montana,5312,0.01,0.14,15.29,0.968,0
MISSOULA H S,Montana,3662,0.01,0.13,13.87,0.966,0
POLSON ELEM,Montana,1151,0.04,0.11,14.57,0.981,0
RONAN ELEM,Montana,1068,0.01,0.16,14.64,0.921,0
WHITEFISH ELEM,Montana,1227,0.01,0.11,16.47,0.932,0
ALLIANCE PUBLIC SCHOOLS,Nebraska,1465,0.03,0.18,15.7,0.909,0
AURORA PUBLIC SCHOOLS,Nebraska,1251,0.01,0.17,13.03,0.842,0
BEATRICE PUBLIC SCHOOLS,Nebraska,2130,0,0.25,14.7,0.949,0
BELLEVUE PUBLIC SCHOOLS,Nebraska,10028,0.02,0.17,14.7,1.005,0
BENNINGTON PUBLIC SCHOOLS,Nebraska,2367,0.01,0.12,16.59,0.962,0
BLAIR COMMUNITY SCHOOLS,Nebraska,2326,0.01,0.15,15.75,0.992,0
COLUMBUS PUBLIC SCHOOLS,Nebraska,3891,0.13,0.15,16.27,1.166,0
CRETE PUBLIC SCHOOLS,Nebraska,1940,0.28,0.16,14.81,1.643,0
ELKHORN PUBLIC SCHOOLS,Nebraska,8685,0.01,0.11,15.71,1.092,0
FREMONT PUBLIC SCHOOLS,Nebraska,4747,0.12,0.2,15.62,0.921,0
GERING PUBLIC SCHOOLS,Nebraska,1982,0.01,0.11,14.73,0.962,0
GRAND ISLAND PUBLIC SCHOOLS,Nebraska,9905,0.17,0.15,14.49,1.023,0
GRETNA PUBLIC SCHOOLS,Nebraska,4688,0,0.12,16.94,0.927,0
HASTINGS PUBLIC SCHOOLS,Nebraska,3707,0.08,0.21,14.42,1.017,0
HOLDREGE PUBLIC SCHOOLS,Nebraska,1134,0.02,0.18,13.71,1.322,0
KEARNEY PUBLIC SCHOOLS,Nebraska,5604,0.03,0.14,15.4,1.258,0
LEXINGTON PUBLIC SCHOOLS,Nebraska,3054,0.33,0.12,14.47,1.042,0
LINCOLN PUBLIC SCHOOLS,Nebraska,40109,0.09,0.16,13.36,1.04,0
