District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
YUCAIPA-CALIMESA JOINT UNIFIED,California,9969,0.09,0.13,23.37,0.931,0
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,25591,0.02,0.11,17.08,0.944,1
ADAMS 12 FIVE STAR SCHOOLS,Colorado,38818,0.14,0.11,19.6,0.945,1
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,2339,0.12,0.11,17.7,0.986,1
ARCHULETA COUNTY SCHOOL DISTRICT NO. 50 JT,Colorado,1568,0.05,0.11,17.72,0.946,1
ASPEN SCHOOL DISTRICT NO. 1 IN THE COUNTY OF PITKIN AND STA,Colorado,1698,0.05,0.11,12.23,0.993,1
AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,Colorado,41797,0.33,0.11,18.33,1.022,1
BAYFIELD SCHOOL DISTRICT NO. 10JT-R,Colorado,1381,0.02,0.11,14.61,1.129,1
BENNETT SCHOOL DISTRICT NO. 29J,Colorado,1089,0.07,0.11,19.14,0.915,1
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,31189,0.07,0.11,18.39,0.939,1
BYERS SCHOOL DISTRICT NO. 32J,Colorado,3019,0.19,0.11,40.85,0.995,1
CHERRY CREEK SCHOOL DISTRICT NO. 5 IN THE COUNTY OF ARAPAH,Colorado,54852,0.08,0.11,17.94,1.007,1
CHEYENNE MOUNTAIN SCHOOL DISTRICT NO. 12 IN THE COUNTY OF E,Colorado,5224,0.02,0.11,14.8,1.035,1
COLORADO DIGITAL BOCES,Colorado,2136,0.03,0.11,32.31,0.976,1
COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,Colorado,27911,0.06,0.11,16.88,0.918,1
DELTA COUNTY JOINT DISTRICT NO. 50,Colorado,5011,0.04,0.11,18.16,0.912,1
DOUGLAS COUNTY SCHOOL DISTRICT NO. RE 1,Colorado,67470,0.05,0.11,19.7,0.925,1
DURANGO SCHOOL DISTRICT NO. 9-R,Colorado,5053,0.04,0.11,14.26,0.927,1
EAGLE COUNTY SCHOOL DISTRICT NO. RE 50,Colorado,6901,0.27,0.11,15.3,0.912,1
EAST GRAND SCHOOL DISTRICT NO. 2,Colorado,1243,0.06,0.11,13.6,0.897,1
EAST OTERO SCHOOL DISTRICT NO. R1,Colorado,1355,0.01,0.11,16.53,0.925,1
ELLICOTT SCHOOL DISTRICT NO. 22 IN THE COUNTY OF EL PASO A,Colorado,1043,0.12,0.11,14.02,0.981,1
ENGLEWOOD SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ARAPAHOE,Colorado,2775,0.1,0.11,15.35,1.288,1
ESTES PARK SCHOOL DISTRICT R-3,Colorado,1153,0.12,0.11,14.72,1.028,1
FALCON SCHOOL DISTRICT NO. 49 IN THE COUNTY OF EL PASO AND,Colorado,20834,0.04,0.11,20.07,0.881,1
FOUNTAIN SCHOOL DISTRICT NO. 8 IN THE COUNTY OF EL PASO AN,Colorado,8185,0.04,0.11,16.56,0.982,1
FREMONT RE-1,Colorado,3626,0.01,0.11,15.89,0.942,1
FREMONT RE-2,Colorado,1318,0.01,0.11,14.49,1.001,1
GARFIELD SCHOOL DISTRICT NO. RE-2,Colorado,4898,0.2,0.11,17.55,0.906,1
GRAND VALLEY SCHOOL DISTRICT NO. 16 IN THE COUNTY OF GARFI,Colorado,1180,0.14,0.11,15.79,0.859,1
GREELEYSCHOOL DISTRICT NO. 6 IN THE COUNTY OF WELD AND STA,Colorado,22033,0.2,0.11,18.26,0.967,1
GUNNISON WATERSHED SCHOOL DISTRICT RE1J,Colorado,2053,0.06,0.11,15.58,0.857,1
HARRISON SCHOOL DISTRICT NO. 2 IN THE COUNTY OF EL PASO AN,Colorado,11746,0.16,0.11,15.73,0.957,1
JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,Colorado,86371,0.06,0.11,18.24,0.975,1
LAKE COUNTY SCHOOL DISTRICT NO. R-1,Colorado,1033,0.33,0.11,17.82,1.258,1
LAMAR SCHOOL DISTRICT NO. RE-2,Colorado,1577,0.06,0.11,14.95,0.986,1
LAS ANIMAS SCHOOL DISTRICT NO. RE-1,Colorado,1175,0,0.11,29.13,1.048,1
LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38 IN THE CO,Colorado,6577,0.02,0.11,18.98,0.927,1
LITTLETON SCHOOL DISTRICT NO. 6 IN THE COUNTY OF ARAPAHOE,Colorado,15517,0.03,0.11,18.48,1.077,1
MANITOU SPRINGS SCHOOL DISTRICT NO. 14 IN THE COUNTY OF EL,Colorado,1488,0.01,0.11,14.39,0.953,1
MAPLETON SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ADAMS & ST,Colorado,8822,0.22,0.11,23.65,0.943,1
MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,Colorado,22105,0.03,0.11,17.22,0.971,1
MOFFAT COUNTY SCHOOL DISTRICT RE: NO. 1,Colorado,2219,0.09,0.11,17.06,0.976,1
MONTE VISTA SCHOOL DISTRICT NO. C-8,Colorado,1173,0.07,0.11,14.98,0.944,1
MONTEZUMA-CORTEZ SCHOOL DISTRICT NO. RE-1,Colorado,2822,0.05,0.11,16.7,1.182,1
MONTROSE COUNTY SCHOOL DISTRICT RE-1J,Colorado,6252,0.13,0.11,18.15,0.988,1
POUDRE SCHOOL DISTRICT R-1,Colorado,29682,0.05,0.11,17.07,1.002,1
PUEBLO COUNTY SCHOOL DISTRICT 70,Colorado,9648,0.03,0.11,19.89,1.131,1
PUEBLO SCHOOL DISTRICT NO. 60 IN THE COUNTY OF PUEBLO AND,Colorado,17319,0.05,0.11,17.14,0.945,1
ROARING FORK SCHOOL DISTRICT NO. RE-1,Colorado,5589,0.27,0.11,14.93,0.913,1
SALIDA SCHOOL DISTRICT NO. R-32,Colorado,1229,0.02,0.11,13.73,1.028,1
SCHOOL DISTRICT 27J,Colorado,17138,0.09,0.11,20.67,0.916,1
SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,Colorado,7467,0.37,0.11,19.67,0.952,1
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Colorado,91138,0.29,0.11,15.24,1.131,1
SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,Colorado,9634,0.01,0.11,18.23,0.993,1
SCHOOL DISTRICT NO. C-1 IN THE COUNTY OF ELBERT AND STATE O,Colorado,2535,0.01,0.11,17.25,0.905,1
SCHOOL DISTRICT NO. RE-1 VALLEY,Colorado,2284,0.04,0.11,16.37,1.235,1
SCHOOL DISTRICT NO. RE-2 BRUSH,Colorado,1543,0.11,0.11,16.39,0.883,1
SCHOOL DISTRICT NO. RE-3 FORT MORGAN,Colorado,3213,0.25,0.11,16.36,1.007,1
SHERIDAN SCHOOL DISTRICT NO. 2,Colorado,1511,0.27,0.11,14.82,0.989,1
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,32171,0.12,0.11,18.13,0.947,1
STATE CHARTER SCHOOL INSTITUTE,Colorado,16427,0.16,0.11,18.81,0.95,1
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,Colorado,2580,0.06,0.11,15.67,0.955,1
SUMMIT SCHOOL DISTRICT NO. RE 1,Colorado,3557,0.21,0.11,14.29,0.866,1
THOMPSON SCHOOL DISTRICT R-2J,Colorado,16280,0.03,0.11,18.06,0.974,1
TRINIDAD SCHOOL DISTRICT 1 IN THE COUNTY OF LAS ANIMAS AND,Colorado,1040,0.02,0.11,16,0.933,1
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-1,Colorado,2004,0.16,0.11,15,1.039,1
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-4,Colorado,6034,0.02,0.11,18.02,0.843,1
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-8,Colorado,2388,0.22,0.11,17.12,1.096,1
WELD COUNTY SCHOOL DISTRICT NO. RE-2,Colorado,1878,0.06,0.11,16.15,0.887,1
WELD COUNTY SCHOOL DISTRICT NO. RE-5J,Colorado,3830,0.05,0.11,20.18,0.963,1
WELD COUNTY SCHOOL DISTRICT NO. RE-7,Colorado,1108,0.07,0.11,13.76,1.02,1
WELD COUNTY SCHOOL DISTRICT RE-3J,Colorado,2352,0.13,0.11,16.54,0.898,1
WESTMINSTER PUBLIC SCHOOLS,Colorado,9638,0.32,0.11,19.41,0.913,1
WOODLAND PARK SCHOOL DISTRICT NO. RE-2,Colorado,2480,0.02,0.11,17.81,1.005,1
ADAIR COUNTY,Kentucky,2631,0.01,0.14,14.86,0.965,1
ALLEN COUNTY,Kentucky,3067,0.01,0.14,16.3,1.093,1
ANDERSON COUNTY,Kentucky,3790,0.01,0.14,17.55,0.912,1
ASHLAND INDEPENDENT,Kentucky,3261,0,0.19,15.68,1.168,1
BALLARD COUNTY,Kentucky,1379,0,0.18,17.02,0.903,1
BARDSTOWN INDEPENDENT,Kentucky,2709,0.02,0.18,17.48,0.965,1
BARREN COUNTY,Kentucky,5118,0.01,0.16,16.86,0.923,1
BATH COUNTY,Kentucky,2075,0,0.12,15.04,1.056,1
BEECHWOOD INDEPENDENT,Kentucky,1412,0.03,0.1,17.12,1.013,1
BEREA INDEPENDENT,Kentucky,1141,0.01,0.19,14.76,0.936,1
BOONE COUNTY,Kentucky,20716,0.05,0.13,16.4,0.912,1
BOURBON COUNTY,Kentucky,2931,0.04,0.13,16.1,0.972,1
BOWLING GREEN INDEPENDENT,Kentucky,4191,0.11,0.13,15.46,1.02,1
BOYD COUNTY,Kentucky,3237,0,0.2,13.6,0.943,1
BOYLE COUNTY,Kentucky,2726,0,0.23,14.83,0.911,1
BREATHITT COUNTY,Kentucky,1953,0,0.19,16.15,1.132,1
BRECKINRIDGE COUNTY,Kentucky,2800,0,0.13,17.28,0.952,1
BULLITT COUNTY,Kentucky,13322,0.01,0.13,17.56,1.032,1
BUTLER COUNTY,Kentucky,2276,0.04,0.17,17.78,0.938,1
CALLOWAY COUNTY,Kentucky,3128,0.02,0.14,16.64,1.065,1
CAMPBELL COUNTY,Kentucky,4966,0.01,0.17,16.64,0.893,1
CAMPBELLSVILLE INDEPENDENT,Kentucky,1172,0.01,0.16,14.29,0.932,1
CARROLL COUNTY,Kentucky,2113,0.04,0.11,17.34,1.119,1
CARTER COUNTY,Kentucky,4573,0,0.16,15.91,0.973,1
CASEY COUNTY,Kentucky,2338,0.02,0.15,15.91,0.945,1
CHRISTIAN COUNTY,Kentucky,8803,0.02,0.14,16.55,1.142,1
CLARK COUNTY,Kentucky,5567,0.01,0.15,16.69,1.039,1
CLAY COUNTY,Kentucky,3296,0,0.23,13.92,0.956,1
CLINTON COUNTY,Kentucky,1783,0.02,0.2,15.43,0.977,1
CORBIN INDEPENDENT,Kentucky,3138,0.01,0.1,17.23,0.991,1
COVINGTON INDEPENDENT,Kentucky,4073,0.08,0.2,14.7,0.953,1
CRITTENDEN COUNTY,Kentucky,1370,0,0.15,17.34,0.92,1
DANVILLE INDEPENDENT,Kentucky,1924,0.04,0.18,15.38,0.968,1
DAVIESS COUNTY,Kentucky,11804,0.03,0.15,17.13,1.043,1
DAYTON INDEPENDENT,Kentucky,1001,0,0.2,15.99,0.913,1
EDMONSON COUNTY,Kentucky,1967,0,0.18,16.81,0.963,1
ELIZABETHTOWN INDEPENDENT,Kentucky,2449,0.02,0.14,15.5,0.954,1
ERLANGER-ELSMERE INDEPENDENT,Kentucky,2450,0.05,0.14,15.68,0.946,1
ESTILL COUNTY,Kentucky,2398,0,0.14,16.4,0.959,1
FAYETTE COUNTY,Kentucky,41558,0.1,0.12,14.67,1.039,1
FLEMING COUNTY,Kentucky,2312,0.01,0.14,16.4,0.879,1
FLOYD COUNTY,Kentucky,5941,0,0.23,15.36,1.006,1
FORT THOMAS INDEPENDENT,Kentucky,3108,0.01,0.07,17.77,1.056,1
FRANKLIN COUNTY,Kentucky,6414,0.03,0.12,17.54,0.897,1
GALLATIN COUNTY,Kentucky,1670,0.05,0.14,16.37,0.915,1
GARRARD COUNTY,Kentucky,2729,0.01,0.14,16.44,0.999,1
GLASGOW INDEPENDENT,Kentucky,2395,0.05,0.17,15.16,0.91,1
GRANT COUNTY,Kentucky,3849,0.01,0.15,16.42,0.996,1
GRAVES COUNTY,Kentucky,4411,0.03,0.16,15.94,1.055,1
GRAYSON COUNTY,Kentucky,4330,0,0.14,16.02,0.998,1
GREEN COUNTY,Kentucky,1620,0.01,0.14,15.22,0.947,1
GREENUP COUNTY,Kentucky,2923,0,0.13,16.89,0.903,1
HANCOCK COUNTY,Kentucky,1708,0.01,0.15,16.23,0.977,1
HARDIN COUNTY,Kentucky,14618,0.02,0.17,16.55,1.105,1
HARLAN COUNTY,Kentucky,4063,0,0.24,15.8,0.942,1
HARRISON COUNTY,Kentucky,3014,0.01,0.15,16.92,0.973,1
HART COUNTY,Kentucky,2442,0.01,0.21,15.29,0.964,1
HAZARD INDEPENDENT,Kentucky,1002,0.01,0.18,15.15,1.079,1
HENDERSON COUNTY,Kentucky,7587,0.01,0.15,17.43,1.01,1
HENRY COUNTY,Kentucky,2201,0.01,0.13,16.87,0.944,1
HOPKINS COUNTY,Kentucky,6888,0.01,0.19,14.88,1.084,1
JEFFERSON COUNTY,Kentucky,99813,0.07,0.12,16.37,1.013,1
JESSAMINE COUNTY,Kentucky,8262,0.02,0.14,15.92,1.062,1
JOHNSON COUNTY,Kentucky,3584,0,0.18,14.88,1.027,1
KENTON COUNTY,Kentucky,14377,0.02,0.14,18.07,0.941,1
KNOTT COUNTY,Kentucky,2376,0,0.23,15.28,0.926,1
KNOX COUNTY,Kentucky,4478,0,0.2,13.57,0.96,1
LARUE COUNTY,Kentucky,2360,0.01,0.17,15.84,0.956,1
LAUREL COUNTY,Kentucky,9301,0,0.19,17.45,1.078,1
LAWRENCE COUNTY,Kentucky,2574,0,0.18,15.03,0.908,1
LETCHER COUNTY,Kentucky,3150,0,0.29,14.98,0.923,1
LINCOLN COUNTY,Kentucky,3936,0.01,0.14,15.75,1.036,1
LIVINGSTON COUNTY,Kentucky,1239,0,0.16,16.09,0.955,1
LOGAN COUNTY,Kentucky,3634,0.01,0.17,16.1,0.979,1
MADISON COUNTY,Kentucky,11877,0.02,0.15,17.39,1.024,1
MAGOFFIN COUNTY,Kentucky,2167,0,0.22,15.61,1.496,1
MARION COUNTY,Kentucky,3256,0.02,0.14,16.12,0.965,1
MARSHALL COUNTY,Kentucky,4922,0,0.11,17.1,1.013,1
MASON COUNTY,Kentucky,2823,0.01,0.18,17.11,1.054,1
MAYFIELD INDEPENDENT,Kentucky,1905,0.13,0.19,17.01,1.015,1
MCCRACKEN COUNTY,Kentucky,7045,0.01,0.13,17.34,0.981,1
MCLEAN COUNTY,Kentucky,1620,0.01,0.16,14.63,1.113,1
MEADE COUNTY,Kentucky,4960,0,0.15,18.52,0.911,1
MERCER COUNTY,Kentucky,2834,0.02,0.18,15.67,0.993,1
METCALFE COUNTY,Kentucky,1657,0.01,0.15,16.09,1.006,1
MIDDLESBORO INDEPENDENT,Kentucky,1317,0.01,0.18,17.33,0.945,1
MONROE COUNTY,Kentucky,1838,0.03,0.19,15.58,0.919,1
MONTGOMERY COUNTY,Kentucky,4901,0.02,0.16,15.66,1.084,1
MORGAN COUNTY,Kentucky,2029,0,0.16,17.49,0.94,1
MUHLENBERG COUNTY,Kentucky,4880,0,0.15,16.44,0.96,1
MURRAY INDEPENDENT,Kentucky,1692,0.03,0.13,15.79,0.941,1
NELSON COUNTY,Kentucky,4703,0,0.14,17.8,0.986,1
NEWPORT INDEPENDENT,Kentucky,1678,0.06,0.13,11.99,1.159,1
NICHOLAS COUNTY,Kentucky,1194,0,0.11,16.83,0.951,1
OHIO COUNTY,Kentucky,4344,0.04,0.13,17.27,0.949,1
OLDHAM COUNTY,Kentucky,12471,0.02,0.12,17.55,0.938,1
OWEN COUNTY,Kentucky,1904,0.01,0.15,17.79,0.906,1
OWENSBORO INDEPENDENT,Kentucky,5085,0.04,0.15,15.42,0.946,1
PADUCAH INDEPENDENT,Kentucky,3243,0.01,0.09,15.81,0.909,1
PENDLETON COUNTY,Kentucky,2426,0.01,0.16,17.84,0.94,1
PERRY COUNTY,Kentucky,4163,0,0.22,16.57,0.932,1
PIKE COUNTY,Kentucky,8826,0,0.16,16.81,1.023,1
PIKEVILLE INDEPENDENT,Kentucky,1235,0.01,0.13,15.44,0.945,1
POWELL COUNTY,Kentucky,2461,0,0.18,16.68,1.05,1
PULASKI COUNTY,Kentucky,8489,0.01,0.14,17.85,1.015,1
ROCKCASTLE COUNTY,Kentucky,2878,0,0.19,15.31,0.978,1
ROWAN COUNTY,Kentucky,3308,0.01,0.13,17.23,0.911,1
RUSSELL COUNTY,Kentucky,3074,0.02,0.12,16.18,1.214,1
RUSSELL INDEPENDENT,Kentucky,2275,0,0.13,17.16,0.934,1
RUSSELLVILLE INDEPENDENT,Kentucky,1045,0.04,0.16,14.84,0.951,1
SCOTT COUNTY,Kentucky,9206,0.03,0.16,17.46,0.951,1
SHELBY COUNTY,Kentucky,7127,0.09,0.15,16.67,1.041,1
SIMPSON COUNTY,Kentucky,3048,0.01,0.16,16.57,0.93,1
SOMERSET INDEPENDENT,Kentucky,1659,0.03,0.16,15.45,1.003,1
SPENCER COUNTY,Kentucky,2990,0.01,0.15,18.08,0.922,1
TAYLOR COUNTY,Kentucky,2607,0.01,0.14,17.26,1.283,1
TODD COUNTY,Kentucky,2090,0.03,0.19,17.45,0.961,1
TRIGG COUNTY,Kentucky,2032,0,0.13,17.08,1.036,1
TRIMBLE COUNTY,Kentucky,1290,0,0.11,17.58,1.046,1
WALTON-VERONA INDEPENDENT,Kentucky,1696,0.01,0.13,16.31,1.142,1
WARREN COUNTY,Kentucky,15494,0.1,0.14,16.53,0.965,1
WASHINGTON COUNTY,Kentucky,1708,0.02,0.18,16.63,0.99,1
WAYNE COUNTY,Kentucky,3342,0.03,0.16,16.67,0.94,1
WEBSTER COUNTY,Kentucky,2325,0.08,0.14,18.75,0.969,1
WHITLEY COUNTY,Kentucky,4462,0,0.2,15.02,1.095,1
WOODFORD COUNTY,Kentucky,4109,0.05,0.11,17.46,0.931,1
ADRIAN SCHOOL DISTRICT OF THE CITY OF,Michigan,2960,0.05,0.14,15.63,0.972,0
ADVANCED TECHNOLOGY ACADEMY,Michigan,1266,0.16,0.09,16.58,1.023,0
AIRPORT COMMUNITY SCHOOLS,Michigan,2488,0.01,0.13,18.31,0.976,0
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,1639,0,0.15,19.96,0.981,0
ALLEGAN PUBLIC SCHOOLS,Michigan,2571,0,0.12,19.4,0.932,0
ALLEN PARK PUBLIC SCHOOLS,Michigan,3798,0.01,0.12,21.08,1.012,0
ALLENDALE PUBLIC SCHOOLS,Michigan,2627,0.04,0.09,18.34,1.002,0
ALMA PUBLIC SCHOOLS,Michigan,2129,0,0.16,17.96,0.95,0
ALMONT COMMUNITY SCHOOLS,Michigan,1473,0.03,0.11,21.45,0.936,0
ALPENA PUBLIC SCHOOLS,Michigan,3883,0.01,0.1,19.83,0.938,0
ANCHOR BAY SCHOOL DISTRICT,Michigan,5958,0.02,0.13,21.29,0.957,0
ANN ARBOR PUBLIC SCHOOLS,Michigan,17565,0.08,0.11,18.04,0.979,0
ARMADA AREA SCHOOLS,Michigan,1856,0,0.1,21.54,0.914,0
AVONDALE SCHOOL DISTRICT,Michigan,3291,0.12,0.12,17.09,0.921,0
BANGOR PUBLIC SCHOOLS (VAN BUREN),Michigan,1221,0.19,0.11,19.5,0.966,0
BANGOR TOWNSHIP SCHOOLS,Michigan,2575,0,0.12,21.83,0.97,0
BATH COMMUNITY SCHOOLS,Michigan,1122,0,0.11,19.57,0.869,0
BATTLE CREEK PUBLIC SCHOOLS,Michigan,4118,0.1,0.17,15.19,0.943,0
BAY CITY SCHOOL DISTRICT,Michigan,7905,0.01,0.15,19.18,1.052,0
BEDFORD PUBLIC SCHOOLS,Michigan,4347,0,0.11,19.41,1.043,0
BELDING AREA SCHOOL DISTRICT,Michigan,1875,0.06,0.15,18.58,0.986,0
BENDLE PUBLIC SCHOOLS,Michigan,1193,0.01,0.14,20.22,0.976,0
BENTON HARBOR AREA SCHOOLS,Michigan,2254,0.03,0.17,22.08,0.943,0
BENZIE COUNTY CENTRAL SCHOOLS,Michigan,1516,0.01,0.14,19.32,0.987,0
BERKLEY SCHOOL DISTRICT,Michigan,4403,0.02,0.09,17.31,0.97,0
BERRIEN SPRINGS PUBLIC SCHOOLS,Michigan,3450,0.1,0.07,23.38,0.945,0
BIG RAPIDS PUBLIC SCHOOLS,Michigan,1998,0.01,0.12,21.58,0.93,0
BIRCH RUN AREA SCHOOLS,Michigan,1896,0,0.12,20.81,0.96,0
BIRMINGHAM PUBLIC SCHOOLS,Michigan,8191,0.04,0.12,14.35,0.945,0
BLOOMFIELD HILLS SCHOOLS,Michigan,5556,0.07,0.14,14.66,1.41,0
BLOOMINGDALE PUBLIC SCHOOL DISTRICT,Michigan,1179,0.18,0.13,17.34,0.972,0
BRADFORD ACADEMY,Michigan,1413,0,0.14,17.23,0.95,0
BRANDON SCHOOL DISTRICT IN THE COUNTIES OF OAKLAND AND LAPEE,Michigan,2592,0.04,0.12,19.08,1.023,0
BRANDYWINE COMMUNITY SCHOOLS,Michigan,1367,0.04,0.12,19,0.951,0
BRIDGEPORT-SPAULDING COMMUNITY SCHOOL DISTRICT,Michigan,1521,0.01,0.16,19.33,0.867,0
BRIGHTON AREA SCHOOLS,Michigan,5993,0.01,0.12,19.71,1.286,0
BRONSON COMMUNITY SCHOOL DISTRICT,Michigan,1081,0.1,0.08,21.49,0.947,0
BUCHANAN COMMUNITY SCHOOLS,Michigan,1580,0.01,0.11,17.74,1.339,0
BULLOCK CREEK SCHOOL DISTRICT,Michigan,1817,0,0.14,18.08,0.94,0
BYRON CENTER PUBLIC SCHOOLS,Michigan,3919,0.02,0.1,20.59,0.949,0
CADILLAC AREA PUBLIC SCHOOLS,Michigan,3188,0,0.12,20.01,0.956,0
CALEDONIA COMMUNITY SCHOOLS,Michigan,4712,0.02,0.11,19.61,0.998,0
CARMAN-AINSWORTH COMMUNITY SCHOOLS,Michigan,5075,0.02,0.13,21.74,0.962,0
CARROLLTON PUBLIC SCHOOLS,Michigan,1856,0,0.17,13.76,0.988,0
CEDAR SPRINGS PUBLIC SCHOOLS,Michigan,3453,0.01,0.14,20.57,0.948,0
CENTER LINE PUBLIC SCHOOLS,Michigan,2621,0.12,0.12,18.33,1.009,0
CENTRAL MONTCALM PUBLIC SCHOOLS,Michigan,1639,0.02,0.11,17.71,0.859,0
CESAR CHAVEZ ACADEMY,Michigan,2354,0.64,0.11,17.81,0.963,0
CHANDLER PARK ACADEMY,Michigan,2361,0,0.04,23.49,0.963,0
CHARLOTTE PUBLIC SCHOOLS,Michigan,2423,0.01,0.12,17.79,0.936,0
CHARYL STOCKWELL ACADEMY,Michigan,1079,0,0.07,18.48,1.007,0
CHELSEA SCHOOL DISTRICT,Michigan,2410,0.01,0.11,17.31,0.912,0
CHIPPEWA VALLEY SCHOOLS,Michigan,16226,0.07,0.12,20.56,1.019,0
CLARENCEVILLE SCHOOL DISTRICT,Michigan,1831,0.06,0.11,17.66,1.056,0
CLARKSTON COMMUNITY SCHOOL DISTRICT,Michigan,7604,0.02,0.14,18.41,0.951,0
CLAWSON PUBLIC SCHOOLS,Michigan,1720,0.07,0.17,16.83,1.01,0
CLINTONDALE COMMUNITY SCHOOLS,Michigan,2842,0.02,0.13,23.85,0.911,0
CLIO AREA SCHOOL DISTRICT,Michigan,3119,0.01,0.11,22.29,1.034,0
COLDWATER COMMUNITY SCHOOLS,Michigan,2846,0.2,0.07,22.02,0.961,0
COLOMA COMMUNITY SCHOOLS,Michigan,1576,0.03,0.1,19.33,1.114,0
COMSTOCK PARK PUBLIC SCHOOLS,Michigan,1977,0.1,0.13,17.48,0.993,0
COMSTOCK PUBLIC SCHOOLS,Michigan,1847,0.02,0.15,17.38,0.973,0
CONSTANTINE PUBLIC SCHOOL DISTRICT,Michigan,1417,0.01,0.1,21.34,1.358,0
COOPERSVILLE AREA PUBLIC SCHOOL DISTRICT,Michigan,2663,0.06,0.11,19.58,0.872,0
CRESCENT ACADEMY,Michigan,1215,0,0.04,17.11,0.965,0
CRESTWOOD SCHOOL DISTRICT,Michigan,3838,0.25,0.09,18.55,1.022,0
DAVISON COMMUNITY SCHOOLS,Michigan,5821,0.01,0.1,20.98,1.093,0
DEARBORN CITY SCHOOL DISTRICT,Michigan,20674,0.48,0.08,16.87,1.091,0
DEARBORN HEIGHTS SCHOOL DISTRICT #7,Michigan,2619,0.07,0.12,20.64,0.979,0
DELTON KELLOGG SCHOOLS,Michigan,1322,0,0.15,20.79,1.379,0
DETROIT PUBLIC SCHOOLS COMMUNITY DISTRICT,Michigan,45455,0.12,0.17,17.66,0.96,1
DEWITT PUBLIC SCHOOLS,Michigan,3169,0.01,0.07,20.02,0.884,0
DEXTER COMMUNITY SCHOOL DISTRICT,Michigan,3604,0.01,0.12,16.5,0.941,0
DOWAGIAC UNION SCHOOL DISTRICT,Michigan,2231,0.1,0.15,18.18,0.967,0
DUNDEE COMMUNITY SCHOOLS,Michigan,1543,0,0.08,19.48,0.894,0
EAST CHINA SCHOOL DISTRICT,Michigan,4221,0,0.12,19.37,0.943,0
EAST DETROIT PUBLIC SCHOOLS,Michigan,2975,0.02,0.2,16.48,0.917,0
EAST GRAND RAPIDS PUBLIC SCHOOLS,Michigan,2939,0.01,0.06,19.25,1.201,0
EAST LANSING SCHOOL DISTRICT,Michigan,3629,0.09,0.08,18.04,0.961,0
EATON RAPIDS PUBLIC SCHOOLS,Michigan,2356,0,0.15,17.1,1.035,0
ECORSE PUBLIC SCHOOLS,Michigan,1173,0.04,0.12,24.7,0.869,0
EDUCATION ACHIEVEMENT AUTHORITY OF MICHIGAN,Michigan,5089,0,0.14,20.6,1.029,0
EDWARDSBURG PUBLIC SCHOOLS,Michigan,2726,0.01,0.11,22.5,0.99,0
ELK RAPIDS SCHOOLS,Michigan,1327,0.04,0.12,20.88,0.928,0
ESSEXVILLE-HAMPTON PUBLIC SCHOOLS,Michigan,1713,0,0.11,21.68,0.942,0
FARMINGTON PUBLIC SCHOOL DISTRICT,Michigan,9630,0.13,0.11,16.42,1,0
FARWELL AREA SCHOOLS,Michigan,1294,0,0.14,20.05,0.952,0
FENNVILLE PUBLIC SCHOOLS,Michigan,1348,0.2,0.09,17.97,0.965,0
FENTON AREA PUBLIC SCHOOLS,Michigan,3402,0.01,0.12,18.95,1.012,0
FERNDALE PUBLIC SCHOOLS,Michigan,3127,0.01,0.1,19.24,1.119,0
FITZGERALD PUBLIC SCHOOLS,Michigan,2656,0.15,0.15,19.08,0.947,0
FLAT ROCK COMMUNITY SCHOOLS,Michigan,1968,0.01,0.16,21.42,0.846,0
FLINT SCHOOL DISTRICT OF THE CITY OF,Michigan,4883,0.03,0.17,15.53,0.919,0
FLUSHING COMMUNITY SCHOOLS,Michigan,4071,0.02,0.13,18.78,1.017,0
FOREST HILLS PUBLIC SCHOOLS,Michigan,9908,0.04,0.08,18.88,0.961,0
FOWLERVILLE COMMUNITY SCHOOLS,Michigan,2889,0.01,0.11,20.56,0.917,0
FRANKENMUTH SCHOOL DISTRICT,Michigan,1256,0.01,0.08,24.45,0.951,0
FRASER PUBLIC SCHOOLS,Michigan,5158,0.03,0.12,18.93,0.974,0
FREELAND COMMUNITY SCHOOL DISTRICT,Michigan,1927,0,0.1,21.77,0.933,0
